,FS,MC,VG,name,annotation,model
BSU17380,False,False,True,nrdE,ribonucleoside-diphosphate reductaseribonucleoside-diphosphate reductase (major subunit),S_Nucleotides_and_nucleic_acids
BSU17390,False,False,True,nrdF,ribonucleoside-diphosphate reductase (minor subunit)ribonucleoside-diphosphate reductase,S_Nucleotides_and_nucleic_acids
BSU28080,False,False,True,folC,folyl-polyglutamate synthase,S_Coenzymes_and_prosthetic_groups
BSU27870,False,False,True,nadB,L-aspartate oxidase,S_Coenzymes_and_prosthetic_groups
BSU27850,False,False,True,nadA,quinolinate synthetase,S_Coenzymes_and_prosthetic_groups
BSU21910,False,True,True,metAA,homoserine O-acetyltransferase,S_Amino_acids_and_related_molecules
BSU27860,False,False,True,nadC,nicotinate-nucleotide pyrophosphorylase (quinolinate phosphoribosyltransferase),S_Coenzymes_and_prosthetic_groups
BSU28500,False,True,True,trxA,thioredoxin,Expression
BSU15570,False,True,True,cysH,(phospho)adenosine phosphosulfate reductase,S_Amino_acids_and_related_molecules
BSU15590,False,True,True,sat,sulfate adenylyltransferase,S_Phosphate_and_sulfur
BSU16770,False,True,True,dapA,4-hydroxy-tetrahydrodipicolinate synthase,S_Amino_acids_and_related_molecules
BSU16750,False,True,True,asd,aspartate-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU36920,False,False,True,rpiB,D-ribose 5-phosphate epimerase (promiscuous),S_Carbohydrates_and_related_molecules
BSU28090,True,True,True,valS,valyl-tRNA synthetase,Expression
BSU33630,True,True,True,secG,preprotein translocase subunit,Expression
BSU04740,False,True,True,rsbX,serine phosphatase,S_Amino_acids_and_related_molecules
BSU29200,True,False,True,accA,acetyl-CoA carboxylase (carboxyltransferase alpha subunit)acetyl-CoA carboxylase,S_Lipids
BSU29210,True,False,True,accD,acetyl-CoA carboxylase (carboxyltransferase beta subunit)acetyl-CoA carboxylase,S_Lipids
BSU29790,False,True,True,murC,UDP-N-acetyl muramate-alanine ligase,S_Cell_wall
BSU00770,False,False,True,folP,dihydropteroate synthase,S_Coenzymes_and_prosthetic_groups
BSU00750,False,True,True,pabA,4-amino-4-deoxychorismate synthase4-amino-4-deoxychorismate synthase; anthranilate synthase (subunit II)anthranilate synthase,S_Amino_acids_and_related_molecules
BSU00790,False,False,True,folK,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase",S_Coenzymes_and_prosthetic_groups
BSU00760,False,False,True,pabC,4-amino-4-deoxychorismate pyruvate-lyase,S_Coenzymes_and_prosthetic_groups
BSU00740,False,False,True,pabB,4-amino-4-deoxychorismate synthase4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase),S_Coenzymes_and_prosthetic_groups
BSU38520,True,False,True,dltC,D-alanyl carrier protein,S_Cell_wall
BSU38530,True,False,True,dltD,D-alanine carrier protein:PG D-alanyltransferase,S_Cell_wall
BSU38510,True,False,True,dltB,PG:teichoic acid D-alanyltransferase,S_Cell_wall
BSU04730,True,False,True,sigB,"RNA polymerase, &sigma;BRNA polymerase sigma-37 factor (sigma(B))",Expression
BSU38500,True,False,True,dltA,D-alanine--[D-alanyl carrier protein] ligase,S_Cell_wall
BSU00780,False,False,True,folB,dihydroneopterin aldolase,S_Coenzymes_and_prosthetic_groups
BSU29670,True,True,True,tyrS,tyrosyl-tRNA synthetase,Expression
BSU00820,True,True,True,lysS,lysyl-tRNA synthetase,Expression
BSU38490,False,False,True,menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",S_Coenzymes_and_prosthetic_groups
BSU27900,False,False,True,pheA,prephenate dehydratase,S_Amino_acids_and_related_molecules
BSU27270,True,True,True,mtnN,methylthioadenosine / S-adenosylhomocysteine nucleosidase,S_Nucleotides_and_nucleic_acids
BSU40910,True,True,True,rpsF,ribosomal protein S6 (BS9),Expression
BSU37330,True,True,True,argS,arginyl-tRNA synthetase,Expression
BSU40890,True,True,True,rpsR,ribosomal protein S18,Expression
BSU11220,False,True,True,argD,N-acetylornithine aminotransferase,S_Amino_acids_and_related_molecules
BSU11250,False,True,True,argF,ornithine carbamoyltransferase,S_Amino_acids_and_related_molecules
BSU11190,False,True,True,argC,N-acetylglutamate gamma-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU25270,True,True,True,glyQ,glycyl-tRNA synthetaseglycyl-tRNA synthetase (alpha subunit),Expression
BSU25260,True,True,True,glyS,glycyl-tRNA synthetaseglycyl-tRNA synthetase (beta subunit),Expression
BSU11200,False,True,True,argJ,ornithine acetyltransferase; amino-acid acetyltransferase,S_Amino_acids_and_related_molecules
BSU00940,True,True,True,cysS,dual cysteinyl-tRNA synthetase; cysteine persulfide synthase,Expression
BSU11210,False,True,True,argB,N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase),S_Amino_acids_and_related_molecules
BSU11870,False,True,True,metI,cystathionine gamma-synthase and O-acetylhomoserine thiolyase,S_Amino_acids_and_related_molecules
BSU00910,False,False,True,ispF,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase",S_Lipids
BSU00900,False,False,True,ispD,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway",S_Lipids
BSU28230,True,True,True,tig,prolyl isomerase (trigger factor),Expression
BSU09540,True,False,True,plsC,1-acylglycerol-phosphate (1-acyl-G3P) acyltransferase,S_Lipids
BSU34200,True,False,True,sigL,"RNA polymerase sigma-54 factor (sigma-L)RNA polymerase, &sigma;L",Expression
BSU32250,False,True,True,thrC,threonine synthase,S_Amino_acids_and_related_molecules
BSU32260,False,True,True,hom,homoserine dehydrogenase,S_Amino_acids_and_related_molecules
BSU32240,False,True,True,thrB,homoserine kinase,S_Amino_acids_and_related_molecules
BSU23070,False,False,True,serA,3-phosphoglycerate dehydrogenase,S_Amino_acids_and_related_molecules
BSU11010,False,False,True,samT,"bifunctional homocysteine S-methyltransferase using (R,S)AdoMet and methylenetetrahydrofolate reductase [NAD(P)H]",S_Coenzymes_and_prosthetic_groups
BSU03150,False,False,True,aroK,shikimate kinase,S_Amino_acids_and_related_molecules
BSU00460,False,False,True,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,S_Carbohydrates_and_related_molecules
BSU25550,True,True,True,rpsT,ribosomal protein S20 (BS20),Expression
BSU00990,True,True,True,rpmGB,ribosomal protein L33,Expression
BSU00280,True,False,True,tmk,thymidylate kinase,S_Nucleotides_and_nucleic_acids
BSU00550,True,True,True,mfd,transcription-repair coupling factor,Expression
BSU01000,True,True,True,secE,preprotein translocase subunit,Expression
BSU01010,True,True,True,nusG,RNA polymerase elongation pause factor/intrinsic transcription termination factor NusG,Expression
BSU01020,True,True,True,rplK,ribosomal protein L11 (BL11),Expression
BSU01030,True,True,True,rplA,ribosomal protein L1 (BL1),Expression
BSU01080,True,True,True,rpoC,"RNA polymerase, &sigma;HRNA polymerase, &sigma;BRNA polymerase, &sigma;ARNA polymerase, &sigma;YRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;XRNA polymerase, &sigma;ZRNA polymerase, &sigma;WRNA polymerase, &sigma;KRNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;ERNA polymerase, ECF-type &sigma;RNA polymerase, core enzymeRNA polymerase, &sigma;VRNA polymerase, &sigma;DRNA polymerase (beta' subunit)RNA polymerase, &sigma;GRNA polymerase, &sigma;IRNA polymerase, &sigma;L",Expression
BSU01100,True,True,True,rpsL,ribosomal protein S12 (BS12),Expression
BSU01110,True,True,True,rpsG,ribosomal protein S7 (BS7),Expression
BSU01120,True,True,True,fusA,elongation factor G,Expression
BSU01130,True,True,True,tufA,elongation factor Tu,Expression
BSU01150,True,True,True,rpsJ,ribosomal protein S10 (BS13); transcription antitermination factor,Expression
BSU01170,True,True,True,rplD,ribosomal protein L4,Expression
BSU01160,True,True,True,rplC,ribosomal protein L3 (BL3),Expression
BSU17460,False,True,True,glnA,glutamine synthetase,S_Amino_acids_and_related_molecules
BSU27940,True,True,True,rpmA,ribosomal protein L27 (BL24),Expression
BSU01070,True,True,True,rpoB,"RNA polymerase, &sigma;HRNA polymerase, &sigma;BRNA polymerase, &sigma;ARNA polymerase, &sigma;YRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;XRNA polymerase, &sigma;ZRNA polymerase, &sigma;WRNA polymerase, &sigma;KRNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;ERNA polymerase, ECF-type &sigma;RNA polymerase, core enzymeRNA polymerase (beta subunit)RNA polymerase, &sigma;VRNA polymerase, &sigma;DRNA polymerase, &sigma;GRNA polymerase, &sigma;IRNA polymerase, &sigma;L",Expression
BSU40420,False,False,True,purA,adenylosuccinate synthetase,S_Nucleotides_and_nucleic_acids
BSU00130,True,True,True,serS,seryl-tRNA synthetase,Expression
BSU15140,True,True,True,rsmH,putative 16S rRNA m4C1402 methyltransferase,Expression
BSU01780,False,False,True,glmS,L-glutamine-D-fructose-6-phosphate amidotransferase,S_Amino_acids_and_related_molecules
BSU28950,True,True,True,thrS,threonyl-tRNA synthetase,Expression
BSU23080,False,False,True,aroC,3-dehydroquinate dehydratase,S_Amino_acids_and_related_molecules
BSU35720,True,False,True,tagF,CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase (poly(glycerol phosphate) polymerase),S_Cell_wall
BSU35740,True,False,True,tagD,glycerol-3-phosphate cytidylyltransferaseglycerol-3-phosphate cytidylyltransferase monomer,S_Cell_wall
BSU35730,True,False,True,tagE,UDP-glucose:polyglycerol phosphate alpha-glucosyltransferase,S_Cell_wall
BSU29620,False,True,True,hisK,histidinol phosphate phosphatase,S_Amino_acids_and_related_molecules
BSU23270,False,False,True,ribE,"riboflavin synthase, light enzymelumazine synthase/riboflavin synthase complexriboflavin synthase (alpha subunit)",S_Coenzymes_and_prosthetic_groups
BSU23280,False,False,True,ribD,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase; 5-amino-6-(5-phosphoribosylamino) uracil reductase,S_Coenzymes_and_prosthetic_groups
BSU23260,False,False,True,ribBA,"fused 3,4-dihydroxy-2-butanone 4-phosphate synthase and GTP cyclohydrolase II",S_Coenzymes_and_prosthetic_groups
BSU23250,False,False,True,ribH,"6,7-dimethyl-8-ribityllumazine synthaselumazine synthase/riboflavin synthase complex6,7-dimethyl-8-ribityllumazine synthase, beta subunit",S_Coenzymes_and_prosthetic_groups
BSU29660,True,True,True,rpsD,ribosomal protein S4 (BS4),Expression
