,FS,MC,VG,name,annotation,model
BSU21910,False,True,True,metAA,homoserine O-acetyltransferase,S_Amino_acids_and_related_molecules
BSU28500,False,True,True,trxA,thioredoxin,Expression
BSU15570,False,True,True,cysH,(phospho)adenosine phosphosulfate reductase,S_Amino_acids_and_related_molecules
BSU15590,False,True,True,sat,sulfate adenylyltransferase,S_Phosphate_and_sulfur
BSU16770,False,True,True,dapA,4-hydroxy-tetrahydrodipicolinate synthase,S_Amino_acids_and_related_molecules
BSU16750,False,True,True,asd,aspartate-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU28090,True,True,True,valS,valyl-tRNA synthetase,Expression
BSU33630,True,True,True,secG,preprotein translocase subunit,Expression
BSU04740,False,True,True,rsbX,serine phosphatase,S_Amino_acids_and_related_molecules
BSU29790,False,True,True,murC,UDP-N-acetyl muramate-alanine ligase,S_Cell_wall
BSU00750,False,True,True,pabA,4-amino-4-deoxychorismate synthase4-amino-4-deoxychorismate synthase; anthranilate synthase (subunit II)anthranilate synthase,S_Amino_acids_and_related_molecules
BSU29670,True,True,True,tyrS,tyrosyl-tRNA synthetase,Expression
BSU00820,True,True,True,lysS,lysyl-tRNA synthetase,Expression
BSU27270,True,True,True,mtnN,methylthioadenosine / S-adenosylhomocysteine nucleosidase,S_Nucleotides_and_nucleic_acids
BSU40910,True,True,True,rpsF,ribosomal protein S6 (BS9),Expression
BSU37330,True,True,True,argS,arginyl-tRNA synthetase,Expression
BSU40890,True,True,True,rpsR,ribosomal protein S18,Expression
BSU11220,False,True,True,argD,N-acetylornithine aminotransferase,S_Amino_acids_and_related_molecules
BSU11250,False,True,True,argF,ornithine carbamoyltransferase,S_Amino_acids_and_related_molecules
BSU11190,False,True,True,argC,N-acetylglutamate gamma-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU25270,True,True,True,glyQ,glycyl-tRNA synthetaseglycyl-tRNA synthetase (alpha subunit),Expression
BSU25260,True,True,True,glyS,glycyl-tRNA synthetaseglycyl-tRNA synthetase (beta subunit),Expression
BSU11200,False,True,True,argJ,ornithine acetyltransferase; amino-acid acetyltransferase,S_Amino_acids_and_related_molecules
BSU00940,True,True,True,cysS,dual cysteinyl-tRNA synthetase; cysteine persulfide synthase,Expression
BSU11210,False,True,True,argB,N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase),S_Amino_acids_and_related_molecules
BSU11870,False,True,True,metI,cystathionine gamma-synthase and O-acetylhomoserine thiolyase,S_Amino_acids_and_related_molecules
BSU28230,True,True,True,tig,prolyl isomerase (trigger factor),Expression
BSU32250,False,True,True,thrC,threonine synthase,S_Amino_acids_and_related_molecules
BSU32260,False,True,True,hom,homoserine dehydrogenase,S_Amino_acids_and_related_molecules
BSU32240,False,True,True,thrB,homoserine kinase,S_Amino_acids_and_related_molecules
BSU25550,True,True,True,rpsT,ribosomal protein S20 (BS20),Expression
BSU00990,True,True,True,rpmGB,ribosomal protein L33,Expression
BSU00550,True,True,True,mfd,transcription-repair coupling factor,Expression
BSU01000,True,True,True,secE,preprotein translocase subunit,Expression
BSU01010,True,True,True,nusG,RNA polymerase elongation pause factor/intrinsic transcription termination factor NusG,Expression
BSU01020,True,True,True,rplK,ribosomal protein L11 (BL11),Expression
BSU01030,True,True,True,rplA,ribosomal protein L1 (BL1),Expression
BSU01080,True,True,True,rpoC,"RNA polymerase, &sigma;HRNA polymerase, &sigma;BRNA polymerase, &sigma;ARNA polymerase, &sigma;YRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;XRNA polymerase, &sigma;ZRNA polymerase, &sigma;WRNA polymerase, &sigma;KRNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;ERNA polymerase, ECF-type &sigma;RNA polymerase, core enzymeRNA polymerase, &sigma;VRNA polymerase, &sigma;DRNA polymerase (beta' subunit)RNA polymerase, &sigma;GRNA polymerase, &sigma;IRNA polymerase, &sigma;L",Expression
BSU01100,True,True,True,rpsL,ribosomal protein S12 (BS12),Expression
BSU01110,True,True,True,rpsG,ribosomal protein S7 (BS7),Expression
BSU01120,True,True,True,fusA,elongation factor G,Expression
BSU01130,True,True,True,tufA,elongation factor Tu,Expression
BSU01150,True,True,True,rpsJ,ribosomal protein S10 (BS13); transcription antitermination factor,Expression
BSU01170,True,True,True,rplD,ribosomal protein L4,Expression
BSU01160,True,True,True,rplC,ribosomal protein L3 (BL3),Expression
