,FS,MC,VG,name,annotation,model
BSU28090,True,True,True,valS,valyl-tRNA synthetase,Expression
BSU33630,True,True,True,secG,preprotein translocase subunit,Expression
BSU29670,True,True,True,tyrS,tyrosyl-tRNA synthetase,Expression
BSU00820,True,True,True,lysS,lysyl-tRNA synthetase,Expression
BSU27270,True,True,True,mtnN,methylthioadenosine / S-adenosylhomocysteine nucleosidase,S_Nucleotides_and_nucleic_acids
BSU40910,True,True,True,rpsF,ribosomal protein S6 (BS9),Expression
BSU37330,True,True,True,argS,arginyl-tRNA synthetase,Expression
BSU40890,True,True,True,rpsR,ribosomal protein S18,Expression
BSU25270,True,True,True,glyQ,glycyl-tRNA synthetaseglycyl-tRNA synthetase (alpha subunit),Expression
BSU25260,True,True,True,glyS,glycyl-tRNA synthetaseglycyl-tRNA synthetase (beta subunit),Expression
BSU00940,True,True,True,cysS,dual cysteinyl-tRNA synthetase; cysteine persulfide synthase,Expression
BSU28230,True,True,True,tig,prolyl isomerase (trigger factor),Expression
BSU25550,True,True,True,rpsT,ribosomal protein S20 (BS20),Expression
BSU00990,True,True,True,rpmGB,ribosomal protein L33,Expression
BSU00550,True,True,True,mfd,transcription-repair coupling factor,Expression
BSU01000,True,True,True,secE,preprotein translocase subunit,Expression
BSU01010,True,True,True,nusG,RNA polymerase elongation pause factor/intrinsic transcription termination factor NusG,Expression
BSU01020,True,True,True,rplK,ribosomal protein L11 (BL11),Expression
BSU01030,True,True,True,rplA,ribosomal protein L1 (BL1),Expression
BSU01080,True,True,True,rpoC,"RNA polymerase, &sigma;HRNA polymerase, &sigma;BRNA polymerase, &sigma;ARNA polymerase, &sigma;YRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;XRNA polymerase, &sigma;ZRNA polymerase, &sigma;WRNA polymerase, &sigma;KRNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;ERNA polymerase, ECF-type &sigma;RNA polymerase, core enzymeRNA polymerase, &sigma;VRNA polymerase, &sigma;DRNA polymerase (beta' subunit)RNA polymerase, &sigma;GRNA polymerase, &sigma;IRNA polymerase, &sigma;L",Expression
BSU01100,True,True,True,rpsL,ribosomal protein S12 (BS12),Expression
BSU01110,True,True,True,rpsG,ribosomal protein S7 (BS7),Expression
BSU01120,True,True,True,fusA,elongation factor G,Expression
BSU01130,True,True,True,tufA,elongation factor Tu,Expression
BSU01150,True,True,True,rpsJ,ribosomal protein S10 (BS13); transcription antitermination factor,Expression
BSU01170,True,True,True,rplD,ribosomal protein L4,Expression
BSU01160,True,True,True,rplC,ribosomal protein L3 (BL3),Expression
BSU27940,True,True,True,rpmA,ribosomal protein L27 (BL24),Expression
BSU01070,True,True,True,rpoB,"RNA polymerase, &sigma;HRNA polymerase, &sigma;BRNA polymerase, &sigma;ARNA polymerase, &sigma;YRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;XRNA polymerase, &sigma;ZRNA polymerase, &sigma;WRNA polymerase, &sigma;KRNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;ERNA polymerase, ECF-type &sigma;RNA polymerase, core enzymeRNA polymerase (beta subunit)RNA polymerase, &sigma;VRNA polymerase, &sigma;DRNA polymerase, &sigma;GRNA polymerase, &sigma;IRNA polymerase, &sigma;L",Expression
BSU00130,True,True,True,serS,seryl-tRNA synthetase,Expression
BSU15140,True,True,True,rsmH,putative 16S rRNA m4C1402 methyltransferase,Expression
BSU28950,True,True,True,thrS,threonyl-tRNA synthetase,Expression
BSU29660,True,True,True,rpsD,ribosomal protein S4 (BS4),Expression
BSU36900,True,True,True,glyA,serine hydroxymethyltransferase,S_Amino_acids_and_related_molecules
BSU33900,True,True,True,eno,enolase,S_Carbohydrates_and_related_molecules
BSU00380,True,True,True,metS,methionyl-tRNA synthetase,S_Other_function
BSU00500,True,True,True,glmU,bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase,S_Cell_wall
BSU40500,True,True,True,rplI,ribosomal protein L9,Expression
BSU01770,True,True,True,glmM,phosphoglucosamine mutase,S_Carbohydrates_and_related_molecules
BSU16780,True,True,True,rnjB,dual activity 5' exo-and endoribonuclease J2RNase J complex,Expression
BSU16650,True,True,True,rbfA,pre-ribosomal (17S) RNA binding factor A,Expression
BSU16630,True,True,True,infB,initiation factor IF-2,Expression
BSU16600,True,True,True,nusA,intrinsic transcription termination factor NusA,Expression
BSU37160,True,True,True,rpoE,"RNA polymerase, &sigma;HRNA polymerase, &sigma;BRNA polymerase, &sigma;ARNA polymerase, &sigma;YRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;XRNA polymerase, &sigma;ZRNA polymerase, &sigma;WRNA polymerase, &sigma;KRNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;ERNA polymerase, ECF-type &sigma;RNA polymerase, core enzymeRNA polymerase, &sigma;VRNA polymerase, &sigma;DRNA polymerase (delta subunit) and transcriptional repressorRNA polymerase, &sigma;GRNA polymerase, &sigma;IRNA polymerase, &sigma;L",Expression
BSU25290,True,True,True,era,maturation of 16S RNA and assembly of 30S ribosomal subunit GTPase,Expression
BSU28640,True,True,True,pheS,phenylalanyl-tRNA synthetase (alpha subunit)phenylalanyl-tRNA synthetase,Expression
BSU15820,True,True,True,rpmB,ribosomal protein L28,Expression
BSU15080,True,True,True,rpmF,ribosomal protein L32,Expression
BSU15690,True,True,True,rpoZ,"RNA polymerase, &sigma;HRNA polymerase, &sigma;BRNA polymerase, &sigma;ARNA polymerase, &sigma;YRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;XRNA polymerase, &sigma;ZRNA polymerase, &sigma;WRNA polymerase, &sigma;KRNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;ERNA polymerase, ECF-type &sigma;RNA polymerase, core enzymeRNA polymerase, &sigma;VRNA polymerase, &sigma;Domega subunit of RNA polymeraseRNA polymerase, &sigma;GRNA polymerase, &sigma;IRNA polymerase, &sigma;L",Expression
BSU15720,True,True,True,defA,peptide deformylase,S_Amino_acids_and_related_molecules
BSU15430,True,True,True,ileS,isoleucyl-tRNA synthetase,Expression
BSU15730,True,True,True,fmt,methionyl-tRNA formyltransferase,S_Other_function
BSU15750,True,True,True,rlmN,23S rRNA m2A2503 methyltransferase and tRNA A37 C2 methyltransferase,Expression
BSU16040,True,True,True,rplS,ribosomal protein L19,Expression
BSU16490,True,True,True,rpsB,ribosomal protein S2,Expression
BSU16500,True,True,True,tsf,elongation factor Ts,Expression
BSU16020,True,True,True,rimM,16S rRNA processing protein,Expression
BSU16520,True,True,True,frr,ribosome recycling factor,Expression
BSU16570,True,True,True,proS,prolyl-tRNA synthetase,Expression
BSU16680,True,True,True,rpsO,ribosomal protein S15 (BS18),Expression
BSU16690,True,True,True,pnpA,polynucleotide phosphorylase (PNPase),Expression
BSU16960,True,True,True,rny,endoribonuclease Y,Expression
BSU22360,True,True,True,asnS,asparaginyl-tRNA synthetase,Expression
BSU22880,True,True,True,rpfA,RNA degradation presenting factor (ribosomal protein S1 homolog),Expression
BSU24900,True,True,True,rpmGA,ribosomal protein L33,Expression
BSU25410,True,True,True,rpsU,ribosomal protein S21,Expression
BSU27320,True,True,True,greA,transcription elongation factor resolving backtracking / stalling,Expression
BSU27560,True,True,True,hisS,histidyl-tRNA synthetase,Expression
BSU27550,True,True,True,aspS,"aspartyl-tRNA synthetase, promiscuous (also recognizes tRNAasn)",Expression
BSU27410,True,True,True,alaS,alanyl-tRNA synthetase,Expression
BSU27650,True,True,True,secDF,protein-export membrane protein,Expression
