decision,reaction ID,genes,spore,mother,name,reaction,reaction_with_names
change_gpr:BSU00750 and BSU22680,ANS,BSU00750 or BSU22680,0,0.002170509,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,Chorismate + L-Glutamine --> Anthranilate + L-Glutamate + H+ + Pyruvate
change_gpr:BSU06430,AIRC1,BSU06420 or BSU06430,0,0.032406908,Phosphoribosylaminoimidazole carboxylase  ATP dependent ,air_c + atp_c + co2_c + h2o_c --> 5aizc_c + adp_c + 2.0 h_c + pi_c,5-amino-1-(5-phospho-D-ribosyl)imidazole + ATP C10H12N5O13P3 + CO2 CO2 + H2O H2O --> 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + ADP C10H12N5O10P2 + 2.0 H+ + Phosphate
change_gpr:BSU06460 and BSU06470 and BSU06480,PRFGS_1,BSU06480 or BSU06470,0,0.032406908,Phosphoribosylformylglycinamidine synthase,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + 2.0 h_c + pi_c,ATP C10H12N5O13P3 + N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide + L-Glutamine + H2O H2O --> ADP C10H12N5O10P2 + 2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine + L-Glutamate + 2.0 H+ + Phosphate
change_gpr:BSU08060 and BSU08070 and BSU08080 and BSU08090,ACTD2,BSU08060 and BSU08070,0,0.003015303,Acetoin dehydrogenase,actn__R_c + coa_c + nad_c --> acald_c + accoa_c + h_c + nadh_c, R  Acetoin C4H8O2 + Coenzyme A + Nicotinamide adenine dinucleotide --> Acetaldehyde + Acetyl-CoA + H+ + Nicotinamide adenine dinucleotide - reduced
change_gpr:BSU09570 or BSU22370 or BSU22620,PHETA1,BSU22620 or BSU34890,-0.000986258,-0.007522069,Phenylalanine transaminase,akg_c + phe__L_c <=> glu__L_c + phpyr_c,2-Oxoglutarate + L-Phenylalanine <=> L-Glutamate + Phenylpyruvate
change_gpr:BSU15220,PPTGS_BS,,0,0.00318784,Peptidoglycan subunit synthesis,uaagmda_c --> h_c + peptido_BS_c + udcpdp_c,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala --> H+ + Peptidoglycan subunit of Bacillus subtilis C40H62N8O21 + Undecaprenyl diphosphate"
change_gpr:BSU22620,HSTPTr,BSU34890 or BSU22620,0,0.003987822,Histidinol phosphate transaminase,glu__L_c + imacp_c <=> akg_c + h_c + hisp_c,L-Glutamate + 3-(Imidazol-4-yl)-2-oxopropyl phosphate <=> 2-Oxoglutarate + H+ + L-Histidinol phosphate
change_gpr:BSU22690 or BSU29750,CHORM,BSU22690 or BSU27910 or BSU29750,0.000986258,0.013924556,Chorismate mutase,chor_c --> pphn_c,Chorismate --> Prephenate
change_gpr:BSU30870 or BSU38860,UDPG4E,BSU38860,0,0,UDPglucose 4-epimerase,udpg_c <=> udpgal_c,UDPglucose <=> UDPgalactose
change_gpr:BSU34890 and BSU34870,IG3PS_1,BSU34870,0,0.003987822,Imidazole glycerol 3 phosphate synthase,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + 2.0 h_c,L-Glutamine + 5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide --> 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide + D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + L-Glutamate + 2.0 H+
change_gpr:BSU38860,UAG4E,BSU30870 or BSU38860,0.031988024,0,UDP N acetylglucosamine 4 epimerase,uacgam_c --> uacgala_c,UDP-N-acetyl-D-glucosamine --> UDP N acetyl D galactosamine C17H25N3O17P2
change_gpr:no_gene,F6Pt6_2,BSU12010 or BSU14400,5.007689063,0,Fructose 6 phosphate transport via phosphate antiport,f6p_e + 2.0 pi_c --> f6p_c + 2.0 pi_e,D-Fructose 6-phosphate + 2.0 Phosphate --> D-Fructose 6-phosphate + 2.0 Phosphate
change_reaction:atp_c + gln__L_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c + glu__L_c,CTPS1,BSU37150,0,0.01737192,CTP synthase  NH3 ,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,ATP C10H12N5O13P3 + Ammonium + UTP C9H11N2O15P3 --> ADP C10H12N5O10P2 + CTP C9H12N3O14P3 + 2.0 H+ + Phosphate
change_reaction:dhor__S_c + nad_c --> nadh_c + h_c + orot_c,DHORDi,BSU15530 and BSU15540,0,0.036885337,Dihydoorotic acid dehydrogenase  irreversible ,dhor__S_c + o2_c <=> h2o2_c + orot_c,(S)-Dihydroorotate + O2 O2 <=> Hydrogen peroxide + Orotate C5H3N2O4
keep,H2Ot,,9.351454596,-5.073642939,H2O transport via diffusion,h2o_e <=> h2o_c,H2O H2O <=> H2O H2O
keep,GSNt2,BSU38710,1.468643857,0,Guanosine transport in via proton symport,gsn_e + h_e <=> gsn_c + h_c,Guanosine + H+ <=> Guanosine + H+
keep,PYK,BSU29180,1.399029098,0,Pyruvate kinase,adp_c + h_c + pep_c --> atp_c + pyr_c,ADP C10H12N5O10P2 + H+ + Phosphoenolpyruvate --> ATP C10H12N5O13P3 + Pyruvate
keep,ENO,BSU33900,1.244832392,-1.651276625,Enolase,2pg_c <=> h2o_c + pep_c,D-Glycerate 2-phosphate <=> H2O H2O + Phosphoenolpyruvate
keep,PDH,(BSU14580 and BSU14590) and BSU14600 and BSU14610,0.673083416,0.574050563,Pyruvate dehydrogenase,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,Coenzyme A + Nicotinamide adenine dinucleotide + Pyruvate --> Acetyl-CoA + CO2 CO2 + Nicotinamide adenine dinucleotide - reduced
keep,PGAMT,BSU01770,0.121193527,-0.160572386,Phosphoglucosamine mutase,gam1p_c <=> gam6p_c,D-Glucosamine 1-phosphate <=> D-Glucosamine 6-phosphate
keep,RPE,BSU15790,0.079524601,-0.133512422,Ribulose 5-phosphate 3-epimerase,ru5p__D_c <=> xu5p__D_c,D-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate
keep,ACCOAC,(BSU29200 and BSU29210) and BSU24350 and BSU24340 and BSU22440,0.055278649,0,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,Acetyl-CoA + ATP C10H12N5O13P3 + Bicarbonate --> ADP C10H12N5O10P2 + H+ + Malonyl CoA C24H33N7O19P3S + Phosphate
keep,HCO3E,BSU30690,0.055278649,0.043638315,HCO3 equilibration reaction,co2_c + h2o_c <=> h_c + hco3_c,CO2 CO2 + H2O H2O <=> H+ + Bicarbonate
keep,GALUi,BSU35670,0.039846431,0,UTP-glucose-1-phosphate uridylyltransferase (irreversible),g1p_c + h_c + utp_c <=> ppi_c + udpg_c,D-Glucose 1-phosphate + H+ + UTP C9H11N2O15P3 <=> Diphosphate + UDPglucose
keep,TALA,BSU37110,0.0397623,-0.058209805,Transaldolase,g3p_c + s7p_c <=> e4p_c + f6p_c,Glyceraldehyde 3-phosphate + Sedoheptulose 7-phosphate <=> D-Erythrose 4-phosphate + D-Fructose 6-phosphate
keep,TKT1,BSU17890,0.0397623,-0.058209805,Transketolase,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,Alpha-D-Ribose 5-phosphate + D-Xylulose 5-phosphate <=> Glyceraldehyde 3-phosphate + Sedoheptulose 7-phosphate
keep,TKT2,BSU17890,0.0397623,-0.075302617,Transketolase,e4p_c + xu5p__D_c <=> f6p_c + g3p_c,D-Erythrose 4-phosphate + D-Xylulose 5-phosphate <=> D-Fructose 6-phosphate + Glyceraldehyde 3-phosphate
keep,UMPK,BSU22890 or BSU16510,0.035199338,0.051861673,UMP kinase,atp_c + ump_c --> adp_c + udp_c,ATP C10H12N5O13P3 + UMP C9H11N2O9P --> ADP C10H12N5O10P2 + UDP C9H11N2O12P2
keep,CYTK1,BSU22890,0.02387242,0.008454767,Cytidylate kinase (CMP),atp_c + cmp_c <=> adp_c + cdp_c,ATP C10H12N5O13P3 + CMP C9H12N3O8P <=> ADP C10H12N5O10P2 + CDP C9H12N3O11P2
keep,GLY3Pt2,BSU02140,0.022502832,0,Glycerol 3 phosphate transport in via proton symport,glyc3p_e + h_e --> glyc3p_c + h_c,Glycerol 3-phosphate + H+ --> Glycerol 3-phosphate + H+
keep,LEUTA,BSU38550 or BSU02390,0.017135999,-0.020810599,Leucine transaminase,akg_c + leu__L_c <=> 4mop_c + glu__L_c,2-Oxoglutarate + L-Leucine <=> 4-Methyl-2-oxopentanoate + L-Glutamate
keep,G3PCT,BSU35740,0.016506511,0,Glycerol-3-phosphate cytidylyltransferase,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,CTP C9H12N3O14P3 + Glycerol 3-phosphate + H+ --> CDPglycerol C12H19N3O13P2 + Diphosphate
keep,NH4t,BSU36510,0.01061857,-1.406032623,Ammonia reversible transport,nh4_e <=> nh4_c,Ammonium <=> Ammonium
keep,ACHBS,BSU36010 or (BSU28310 and BSU28300),0.006621431,0.012053935,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,2-Oxobutanoate + H+ + Pyruvate --> (S)-2-Aceto-2-hydroxybutanoate + CO2 CO2
keep,THRD_L,BSU21770,0.006621431,0,L-threonine deaminase,thr__L_c --> 2obut_c + nh4_c,L-Threonine --> 2-Oxobutanoate + Ammonium
keep,DHAD2,BSU21870,0.005116536,0.012053935,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",23dhmp_c --> 3mop_c + h2o_c,"(R)-2,3-Dihydroxy-3-methylpentanoate --> (S)-3-Methyl-2-oxopentanoate + H2O H2O"
keep,OIVD3,BSU24050 and BSU24040 and BSU24030 and BSU24060,0.005116536,0,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),3mop_c + coa_c + nad_c --> 2mbcoa_c + co2_c + nadh_c,(S)-3-Methyl-2-oxopentanoate + Coenzyme A + Nicotinamide adenine dinucleotide --> 2-Methylbutanoyl-CoA + CO2 CO2 + Nicotinamide adenine dinucleotide - reduced
keep,AGPATr_BS,BSU09540,0.005016211,0,1 acylglycerol 3 phosphate O acyltransferase,0.01 1ag3p_BS_c + 0.07 fa11coa_c + 0.17 fa12coa_c + 0.01 fa1coa_c + 0.2 fa3coa_c + 0.34 fa4coa_c + 0.05 fa6coa_c + 0.1 pmtcoa_c + 0.03 strcoa_c + 0.03 tdcoa_c <=> 0.01 12dag3p_BS_c + coa_c,0.01 1 Acyl sn glycerol 3 phsophate C1868H3636O700P100 + 0.07 Iso C170 CoA C38H64N7O17P3S1 + 0.17 Anteiso C170 CoA C38H64N7O17P3S1 + 0.01 Iso C140 CoA C35H58N7O17P3S1 + 0.2 Iso C150 CoA C36H60N7O17P3S1 + 0.34 Anteiso C150 CoA C36H60N7O17P3S1 + 0.05 Iso C160 CoA C37H62N7O17P3S1 + 0.1 Palmitoyl-CoA (n-C16:0CoA) + 0.03 Stearyl CoA  n C180CoA  C39H66N7O17P3S + 0.03 Tetradecanoyl-CoA (n-C14:0CoA) <=> 0.01 1 2 diacyl sn glycerol 3 phosphate C3436H6572O800P100 + Coenzyme A
keep,LEUt2r,(BSU26710 and BSU26700) or BSU29600 or BSU26690,0.004835765,0,L leucine reversible transport via proton symport,h_e + leu__L_e <=> h_c + leu__L_c,H+ + L-Leucine <=> H+ + L-Leucine
keep,ALAR,BSU04640,0.004659325,0.006375681,Alanine racemase,ala__L_c <=> ala__D_c,L-Alanine <=> D-Alanine
keep,ACONT,BSU18000,0.004228664,1.127844082,Aconitate hydratase,cit_c <=> icit_c,Citrate <=> Isocitrate
keep,ICDHyr,BSU29130,0.004228664,1.127844082,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,Isocitrate + Nicotinamide adenine dinucleotide phosphate <=> 2-Oxoglutarate + CO2 CO2 + Nicotinamide adenine dinucleotide phosphate - reduced
keep,CITt2r,BSU38770 or BSU26860,0.004195525,-0.000000235,Citrate reversible transport via symport,cit_e + h_e <=> cit_c + h_c,Citrate + H+ <=> Citrate + H+
keep,PHCYT_BS,BSU16540,0.003621508,0,Phosphatidate cytidylyltransferase,0.01 12dag3p_BS_c + ctp_c + h_c --> 0.01 cdpdag_BS_c + ppi_c,0.01 1 2 diacyl sn glycerol 3 phosphate C3436H6572O800P100 + CTP C9H12N3O14P3 + H+ --> 0.01 CDPdiacylglycerol  B subtilis  C4336H7772N300O1500P200 + Diphosphate
keep,ACLS,(BSU28310 and BSU28300) or BSU36010,0.003443879,0.038538494,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,H+ + 2.0 Pyruvate --> (S)-2-Acetolactate + CO2 CO2
keep,DHAD1,BSU21870,0.003443879,0.035523191,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c --> 3mob_c + h2o_c,"(R)-2,3-Dihydroxy-3-methylbutanoate --> 3-Methyl-2-oxobutanoate + H2O H2O"
keep,FACOAL150_anteiso,BSU28560 or BSU18250 or BSU10360 or BSU10270,0.003411024,0,Fatty acid  CoA ligase  anteiso C150 ,atp_c + coa_c + fa4_c <=> amp_c + fa4coa_c + ppi_c,ATP C10H12N5O13P3 + Coenzyme A + Fatty acid (Anteiso-C15:0) <=> AMP C10H12N5O7P + Anteiso C150 CoA C36H60N7O17P3S1 + Diphosphate
keep,KAS4,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370),0.003411024,0,B-ketoacyl synthetase (Anteiso-C15:0),2mbcoa_c + 14.0 h_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa4_c + 4.0 h2o_c + 10.0 nadp_c,2-Methylbutanoyl-CoA + 14.0 H+ + 5.0 Malonyl CoA C24H33N7O19P3S + 10.0 Nicotinamide adenine dinucleotide phosphate - reduced --> 5.0 CO2 CO2 + 6.0 Coenzyme A + Fatty acid (Anteiso-C15:0) + 4.0 H2O H2O + 10.0 Nicotinamide adenine dinucleotide phosphate
keep,TRDR,BSU34790 or BSU32110 or BSU03270,0.003015303,0.006658847,Thioredoxin reductase (NADPH),BSU28500-MONOMER_mod_Oxidized + h_c + nadph_c --> BSU28500-MONOMER + nadp_c,Oxidized thioredoxin + H+ + Nicotinamide adenine dinucleotide phosphate - reduced --> Reduced thioredoxin + Nicotinamide adenine dinucleotide phosphate
keep,OIVD1r,BSU24050 and BSU24040 and BSU24030 and BSU24060,0.002708754,0,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),4mop_c + coa_c + nad_c <=> co2_c + ivcoa_c + nadh_c,4-Methyl-2-oxopentanoate + Coenzyme A + Nicotinamide adenine dinucleotide <=> CO2 CO2 + Isovaleryl-CoA + Nicotinamide adenine dinucleotide - reduced
keep,CDPDSP_BS,BSU02270,0.002641399,0,CDPdiacylglycerol serine O phosphatidyltransferase,0.01 cdpdag_BS_c + ser__L_c --> cmp_c + h_c + 0.01 ps_BS_c,0.01 CDPdiacylglycerol  B subtilis  C4336H7772N300O1500P200 + L-Serine --> CMP C9H12N3O8P + H+ + 0.01 Phosphatidylserine  B subtilis  C3736H7172N100O1000P100
keep,PSDC_BS,BSU02290,0.002641399,0,Phosphatidylserine decarboxylase,0.01 ps_BS_c --> co2_c + 0.01 psetha_BS_c,0.01 Phosphatidylserine  B subtilis  C3736H7172N100O1000P100 --> CO2 CO2 + 0.01 Phosphatidylethanolamine  B subtilis  C3636H7172N100O800P100
keep,MDH,BSU29120,0.002152269,3.149141119,Malate dehydrogenase,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,L-Malate + Nicotinamide adenine dinucleotide <=> H+ + Nicotinamide adenine dinucleotide - reduced + Oxaloacetate
