Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	59	18.553459119496853	7.883914784208E-27	BSU_01180, BSU_15820, BSU_16040, BSU_16680, BSU_24900, BSU_16520, BSU_01500, BSU_01300, BSU_01420, BSU_22880, BSU_01100, BSU_01220, BSU_01340, BSU_01020, BSU_28860, BSU_01260, BSU_25550, BSU_06670, BSU_01050, BSU_01490, BSU_01170, BSU_01290, BSU_16490, BSU_01410, BSU_40500, BSU_01210, BSU_01330, BSU_27940, BSU_01250, BSU_01160, BSU_01280, BSU_15720, BSU_15080, BSU_37070, BSU_01400, BSU_25410, BSU_01200, BSU_00990, BSU_41060, BSU_01320, BSU_01440, BSU_01240, BSU_06690, BSU_40890, BSU_01040, BSU_01270, BSU_29660, BSU_01190, BSU_40910, BSU_15990, BSU_01310, BSU_01110, BSU_01230, BSU_01350, BSU_27960, BSU_28850, BSU_01030, BSU_06680, BSU_01150	308	59	864	2.8051948051948052	2.0655856734624957E-24	2.0577017586782878E-24	2.002514355188832E-24
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	54	16.9811320754717	1.5544859138333857E-25	BSU_01180, BSU_15820, BSU_16040, BSU_16680, BSU_24900, BSU_01500, BSU_01300, BSU_01420, BSU_22880, BSU_01100, BSU_01220, BSU_01340, BSU_01020, BSU_28860, BSU_01260, BSU_25550, BSU_01050, BSU_01490, BSU_01170, BSU_01290, BSU_16490, BSU_01410, BSU_40500, BSU_01210, BSU_01330, BSU_27940, BSU_01250, BSU_01160, BSU_01280, BSU_15080, BSU_37070, BSU_01400, BSU_25410, BSU_01200, BSU_00990, BSU_41060, BSU_01320, BSU_01440, BSU_01240, BSU_40890, BSU_01040, BSU_01270, BSU_29660, BSU_01190, BSU_40910, BSU_15990, BSU_01310, BSU_01110, BSU_01230, BSU_01350, BSU_27960, BSU_28850, BSU_01030, BSU_01150	314	54	928	2.9554140127388533	5.425155839278516E-23	5.425155839278516E-23	5.409610980140183E-23
KEGG_PATHWAY	bsu03010:Ribosome	54	16.9811320754717	4.2210286891923807E-23	BSU_01180, BSU_15820, BSU_16040, BSU_16680, BSU_24900, BSU_01500, BSU_01300, BSU_01420, BSU_22880, BSU_01100, BSU_01220, BSU_01340, BSU_01020, BSU_28860, BSU_01260, BSU_25550, BSU_01050, BSU_01490, BSU_01170, BSU_01290, BSU_16490, BSU_01410, BSU_40500, BSU_01210, BSU_01330, BSU_27940, BSU_01250, BSU_01160, BSU_01280, BSU_15080, BSU_37070, BSU_01400, BSU_25410, BSU_01200, BSU_00990, BSU_41060, BSU_01320, BSU_01440, BSU_01240, BSU_40890, BSU_01040, BSU_01270, BSU_29660, BSU_01190, BSU_40910, BSU_15990, BSU_01310, BSU_01110, BSU_01230, BSU_01350, BSU_27960, BSU_28850, BSU_01030, BSU_01150	283	54	749	2.6466431095406358	3.3768229513539045E-21	3.3768229513539045E-21	3.1657715168942855E-21
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	55	17.29559748427673	1.27649864409377E-22	BSU_01180, BSU_15820, BSU_16040, BSU_15980, BSU_16680, BSU_24900, BSU_01500, BSU_01300, BSU_01420, BSU_22880, BSU_01100, BSU_01220, BSU_01340, BSU_01020, BSU_28860, BSU_01260, BSU_25550, BSU_01050, BSU_01490, BSU_01170, BSU_01290, BSU_16490, BSU_01410, BSU_40500, BSU_01210, BSU_01330, BSU_27940, BSU_01250, BSU_01160, BSU_01280, BSU_15080, BSU_37070, BSU_01400, BSU_25410, BSU_01200, BSU_00990, BSU_41060, BSU_01320, BSU_01440, BSU_01240, BSU_40890, BSU_01040, BSU_01270, BSU_29660, BSU_01190, BSU_40910, BSU_15990, BSU_01310, BSU_01110, BSU_01230, BSU_01350, BSU_27960, BSU_28850, BSU_01030, BSU_01150	297	55	758	2.5521885521885523	4.723044983146949E-21	4.723044983146949E-21	4.467745254328195E-21
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	54	16.9811320754717	3.630929476533909E-22	BSU_01180, BSU_15820, BSU_16040, BSU_16680, BSU_24900, BSU_01500, BSU_01300, BSU_01420, BSU_22880, BSU_01100, BSU_01220, BSU_01340, BSU_01020, BSU_28860, BSU_01260, BSU_25550, BSU_01050, BSU_01490, BSU_01170, BSU_01290, BSU_16490, BSU_01410, BSU_40500, BSU_01210, BSU_01330, BSU_27940, BSU_01250, BSU_01160, BSU_01280, BSU_15080, BSU_37070, BSU_01400, BSU_25410, BSU_01200, BSU_00990, BSU_41060, BSU_01320, BSU_01440, BSU_01240, BSU_40890, BSU_01040, BSU_01270, BSU_29660, BSU_01190, BSU_40910, BSU_15990, BSU_01310, BSU_01110, BSU_01230, BSU_01350, BSU_27960, BSU_28850, BSU_01030, BSU_01150	297	54	758	2.552188552188552	1.3434439063175463E-20	6.717219531587732E-21	6.354126583934341E-21
GOTERM_CC_DIRECT	GO:0005840~ribosome	45	14.150943396226415	9.142430447954064E-20	BSU_01160, BSU_01280, BSU_01180, BSU_15820, BSU_16040, BSU_16680, BSU_16020, BSU_24900, BSU_37070, BSU_01500, BSU_01400, BSU_01300, BSU_25410, BSU_01420, BSU_22880, BSU_00990, BSU_41060, BSU_01320, BSU_01100, BSU_01220, BSU_01440, BSU_01020, BSU_01240, BSU_28860, BSU_25550, BSU_40890, BSU_01270, BSU_01050, BSU_01490, BSU_01170, BSU_01290, BSU_01190, BSU_40910, BSU_15990, BSU_01410, BSU_40500, BSU_01310, BSU_01210, BSU_27940, BSU_01110, BSU_01230, BSU_28850, BSU_27960, BSU_01250, BSU_01150	258	45	710	2.751937984496124	3.1084263523043816E-18	3.1084263523043816E-18	2.6513048299066784E-18
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	115	36.16352201257861	8.453828898564674E-19	BSU_01380, BSU_29670, BSU_29790, BSU_34900, BSU_11220, BSU_15540, BSU_37330, BSU_34860, BSU_15140, BSU_16520, BSU_01780, BSU_06030, BSU_27410, BSU_22360, BSU_30550, BSU_28230, BSU_29440, BSU_31400, BSU_32170, BSU_11210, BSU_17460, BSU_34870, BSU_16770, BSU_16650, BSU_22890, BSU_06020, BSU_22490, BSU_22370, BSU_01130, BSU_28630, BSU_03150, BSU_01370, BSU_28870, BSU_29200, BSU_34920, BSU_30320, BSU_24280, BSU_29210, BSU_29450, BSU_11200, BSU_35730, BSU_16020, BSU_34880, BSU_16780, BSU_22700, BSU_35290, BSU_00550, BSU_01120, BSU_28640, BSU_27550, BSU_27560, BSU_25260, BSU_34890, BSU_28090, BSU_15750, BSU_14540, BSU_35740, BSU_15230, BSU_00820, BSU_00940, BSU_22830, BSU_06480, BSU_00380, BSU_24060, BSU_25270, BSU_38500, BSU_29190, BSU_11420, BSU_14530, BSU_37010, BSU_15980, BSU_32240, BSU_21910, BSU_15180, BSU_16600, BSU_22600, BSU_00130, BSU_06470, BSU_27850, BSU_40550, BSU_04570, BSU_29750, BSU_04560, BSU_33900, BSU_28270, BSU_06500, BSU_16690, BSU_14000, BSU_16570, BSU_11250, BSU_15570, BSU_22730, BSU_25200, BSU_40420, BSU_06460, BSU_28950, BSU_28280, BSU_25290, BSU_36900, BSU_15200, BSU_38520, BSU_15680, BSU_16500, BSU_00510, BSU_27870, BSU_01270, BSU_01390, BSU_35660, BSU_10020, BSU_11870, BSU_35300, BSU_15430, BSU_11190, BSU_16630, BSU_00500	155	231	518	1.6637341153470186	7.608446008708207E-18	7.608446008708207E-18	7.608446008708207E-18
UP_KW_BIOLOGICAL_PROCESS	KW-0648~Protein biosynthesis	35	11.0062893081761	2.233718572357244E-16	BSU_25270, BSU_30320, BSU_29670, BSU_15720, BSU_11420, BSU_37010, BSU_37330, BSU_16520, BSU_16500, BSU_35290, BSU_00130, BSU_01120, BSU_27410, BSU_27550, BSU_28640, BSU_22360, BSU_06690, BSU_06670, BSU_01390, BSU_27560, BSU_25260, BSU_28090, BSU_15730, BSU_15430, BSU_16570, BSU_16630, BSU_00820, BSU_00940, BSU_28950, BSU_01130, BSU_28630, BSU_27320, BSU_00380, BSU_28870, BSU_06680	249	35	750	3.012048192771084	1.532107773982716E-14	1.541265814926498E-14	1.1838708433493392E-14
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	51	16.037735849056602	6.111102130268975E-16	BSU_29670, BSU_01180, BSU_14530, BSU_15980, BSU_16680, BSU_16960, BSU_16600, BSU_01300, BSU_01420, BSU_22880, BSU_01100, BSU_01220, BSU_01020, BSU_27410, BSU_01260, BSU_25550, BSU_01170, BSU_01290, BSU_16690, BSU_01410, BSU_40500, BSU_01210, BSU_01330, BSU_28950, BSU_28630, BSU_01250, BSU_01160, BSU_01280, BSU_25290, BSU_16780, BSU_37070, BSU_01200, BSU_01320, BSU_40890, BSU_01040, BSU_01270, BSU_01390, BSU_29660, BSU_01190, BSU_28370, BSU_40910, BSU_37080, BSU_01310, BSU_01110, BSU_41050, BSU_01230, BSU_01350, BSU_27960, BSU_28850, BSU_01030, BSU_00380	297	56	758	2.3243145743145743	2.4646951146678475E-14	7.537025960665069E-15	7.129619151980471E-15
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	35	11.0062893081761	6.745403500880998E-14	BSU_01160, BSU_01280, BSU_01180, BSU_25290, BSU_16680, BSU_37070, BSU_01300, BSU_01420, BSU_01200, BSU_01320, BSU_01100, BSU_01220, BSU_01260, BSU_25550, BSU_40890, BSU_01270, BSU_01390, BSU_29660, BSU_01170, BSU_01290, BSU_01190, BSU_40910, BSU_15750, BSU_01410, BSU_40500, BSU_01310, BSU_01210, BSU_01330, BSU_01110, BSU_01230, BSU_01350, BSU_28850, BSU_27960, BSU_01030, BSU_01250	314	37	928	2.7956619039421584	2.3558044404126122E-11	1.1770729109037342E-11	1.1737002091532937E-11
