,FS,MC,VG,name,annotation,model
BSU28720,False,False,False,abfA,&alpha;-L-arabinofuranosidase 1,S_Carbohydrates_and_related_molecules
BSU33040,False,False,False,fumC,fumarate hydratase,S_Carbohydrates_and_related_molecules
BSU03860,False,False,False,nfrAB,NADPH-FMN oxidoreductase (nitroreductase),S_Membrane_bioenergetics
BSU28790,False,False,False,araB,L-ribulokinase,S_Carbohydrates_and_related_molecules
BSU25580,False,False,False,comEB,dCMP deaminase associated to DNA transport (competence),S_Nucleotides_and_nucleic_acids
BSU29060,False,False,False,coaE,dephosphocoenzyme A kinase,S_Coenzymes_and_prosthetic_groups
BSU08860,False,False,False,ssuD,FMNH2-dependent aliphatic sulfonate monooxygenase,S_Phosphate_and_sulfur
BSU37660,False,False,False,pta,phosphotransacetylase,S_Carbohydrates_and_related_molecules
BSU28800,False,False,False,araA,L-arabinose isomerase,S_Carbohydrates_and_related_molecules
BSU28780,False,False,False,araD,L-ribulose-5-phosphate 4-epimerase,S_Carbohydrates_and_related_molecules
BSU39920,False,False,False,asnH,asparagine synthetase (glutamine-hydrolyzing),S_Amino_acids_and_related_molecules
BSU34130,False,False,False,ganA,"short chain beta-1,4-galacto-oligosaccharides beta-galactosidase (beta-galacto-pyranoside hydrolase)",S_Carbohydrates_and_related_molecules
BSU30210,False,False,False,bioD,dethiobiotin synthetase,S_Coenzymes_and_prosthetic_groups
BSU17380,False,False,True,nrdE,ribonucleoside-diphosphate reductaseribonucleoside-diphosphate reductase (major subunit),S_Nucleotides_and_nucleic_acids
BSU19800,False,False,False,phyC,phytase,S_Carbohydrates_and_related_molecules
BSU29680,False,False,False,acsA,acetyl-CoA synthetase,S_Carbohydrates_and_related_molecules
BSU30220,False,False,False,bioFC,8-amino-7-oxononanoate synthase (pimeloyl-CoA-dependent),S_Coenzymes_and_prosthetic_groups
BSU30200,False,False,False,bioB,biotin synthase,S_Coenzymes_and_prosthetic_groups
BSU27010,False,False,False,adhA,<em>S</em>-(hydroxymethyl)bacillithiol dehydrogenase,S_Carbohydrates_and_related_molecules
BSU17390,False,False,True,nrdF,ribonucleoside-diphosphate reductaseribonucleoside-diphosphate reductase (minor subunit),S_Nucleotides_and_nucleic_acids
BSU30240,False,False,False,bioW,6-carboxyhexanoate-CoA ligase monomer,S_Coenzymes_and_prosthetic_groups
BSU28080,False,False,True,folC,folyl-polyglutamate synthase,S_Coenzymes_and_prosthetic_groups
BSU30230,False,False,False,bioK,L-lysine-8-amino-7-oxononanoate aminotransferase,S_Coenzymes_and_prosthetic_groups
BSU27870,False,False,True,nadB,L-aspartate oxidase,S_Coenzymes_and_prosthetic_groups
BSU27850,False,False,True,nadA,quinolinate synthetase,S_Coenzymes_and_prosthetic_groups
BSU21910,False,True,True,metAA,homoserine O-acetyltransferase,S_Amino_acids_and_related_molecules
BSU27860,False,False,True,nadC,nicotinate-nucleotide pyrophosphorylase (quinolinate phosphoribosyltransferase),S_Coenzymes_and_prosthetic_groups
BSU14730,False,False,False,sigP,"RNA polymerase ECF-type sigma factorRNA polymerase, ECF-type &sigma;",Expression
BSU02130,False,False,False,glpQA,secreted glycerophosphoryl diester phosphodiesterase,S_Lipids
BSU09410,False,False,False,phoA,alkaline phosphatase A,S_Phosphate_and_sulfur
BSU28500,False,True,True,trxA,thioredoxin,Expression
BSU15630,False,False,False,sirC,precorrin-2 dehydrogenase,S_Coenzymes_and_prosthetic_groups
BSU15610,False,False,False,sumT,uroporphyrinogen III and precorrin-1 C-methyltransferase,S_Coenzymes_and_prosthetic_groups
BSU15570,False,True,True,cysH,(phospho)adenosine phosphosulfate reductase,S_Amino_acids_and_related_molecules
BSU15620,False,False,False,sirB,sirohydrochlorin ferrochelatase,S_Coenzymes_and_prosthetic_groups
BSU15590,False,True,True,sat,sulfate adenylyltransferase,S_Phosphate_and_sulfur
BSU15600,False,False,False,cysC,adenylylsulfate kinase,S_Amino_acids_and_related_molecules
BSU28440,False,False,False,sdhA,succinate dehydrogenasesuccinate dehydrogenase (flavoprotein subunit),S_Carbohydrates_and_related_molecules
BSU28430,False,False,False,sdhB,succinate dehydrogenase (iron-sulfur protein)succinate dehydrogenase,S_Carbohydrates_and_related_molecules
BSU02490,False,False,False,gudD,glucarate dehydratase,S_Carbohydrates_and_related_molecules
BSU02460,False,False,False,kdgD,5-dehydro-4-deoxyglucarate dehydratase,S_Carbohydrates_and_related_molecules
BSU02510,False,False,False,garD,D-galactarate dehydratase,S_Carbohydrates_and_related_molecules
BSU28450,False,False,False,sdhC,succinate dehydrogenase (cytochrome b558 subunit)succinate dehydrogenase,S_Carbohydrates_and_related_molecules
BSU16770,False,True,True,dapA,4-hydroxy-tetrahydrodipicolinate synthase,S_Amino_acids_and_related_molecules
BSU16750,False,True,True,asd,aspartate-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU16740,False,False,False,spoVFB,spore dipicolinate synthasespore dipicolinate synthase subunit B,S_Other_function
BSU16760,False,False,False,dapG,aspartokinase I (alpha and beta subunits),S_Amino_acids_and_related_molecules
BSU28510,False,False,False,abfB,&alpha;-L-arabinofuranosidase 2,S_Carbohydrates_and_related_molecules
BSU36920,False,False,True,rpiB,D-ribose 5-phosphate epimerase (promiscuous),S_Carbohydrates_and_related_molecules
BSU03050,False,False,False,lctE,L-lactate dehydrogenase,S_Membrane_bioenergetics
BSU16730,False,False,False,spoVFA,spore dipicolinate synthasespore dipicolinate synthase subunit A,S_Other_function
BSU28090,True,True,True,valS,valyl-tRNA synthetase,Expression
