,name,genes,source
BSU32680-MONOMER,iron-sulfur cluster assembly sulfur-transfer protein (Zn(2+)-dependent),BSU32680(),BioCyc
BSU11920-MONOMER,conserved hypothetical protein; phage island,BSU11920(),BioCyc
BSU30820-MONOMER,2-oxoglutarate decarboxylase and 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1- carboxylic-acid synthase,BSU30820(),BioCyc
BSU06970-MONOMER,rhamnogalacturonan trisaccharide-binding lipoprotein,BSU06970(),BioCyc
BSU00920-MONOMER,glutamyl-tRNA synthetase,BSU00920(),BioCyc
BSU21830-MONOMER,putative phosphatidylglycerophosphatase,BSU21830(),BioCyc
BSU34390-MONOMER,para-nitrobenzyl esterase (intracellular esterase B),BSU34390(),BioCyc
BSU36310-MONOMER,single-strand DNA-binding protein,BSU36310(),BioCyc
BSU10710-MONOMER,spore germination protein,BSU10710(),BioCyc
BSU25450-MONOMER,ribosomal protein L11 methyltransferase,BSU25450(),BioCyc
BSU08779-MONOMER,putative spore coat protein,BSU08779(),BioCyc
BSU39950-MONOMER,putative integral membrane protein of unknown function,BSU39950(),BioCyc
BSU11690-MONOMER,thiazole synthase,BSU11690(),BioCyc
BSU15400-MONOMER,"factor involved in shape determination, distribution of nucleoids and osmotic tolerance",BSU15400(),BioCyc
BSU02670-MONOMER,flavonoid efflux transporter; drug-export protein,BSU02670(),BioCyc
BSU21580-MONOMER,putative RNase; phage SPbeta,BSU21580(),BioCyc
BSU25220-MONOMER,hypothetical protein,BSU25220(),BioCyc
BSU29140-MONOMER,citrate synthase II,BSU29140(),BioCyc
BSU38060-MONOMER,nitrite transporter,BSU38060(),BioCyc
BSU15160-MONOMER,penicillin-binding protein 2B,BSU15160(),BioCyc
BSU28900-MONOMER,pyruvate import system subunit B,BSU28900(),BioCyc
BSU32750-MONOMER,methionine ABC transporter ATP-binding protein,BSU32750(),BioCyc
BSU19700-MONOMER,epsilon-amino-beta-lysine acetyl transferase,BSU19700(),BioCyc
BSU32530-MONOMER,allantoate amidohydrolase,BSU32530(),BioCyc
BSU06820-MONOMER,putative phage receptor protein,BSU06820(),BioCyc
BSU07050-MONOMER,polysaccharide lyase; lipoprotein,BSU07050(),BioCyc
BSU_38495-MONOMER,hypothetical protein,BSU_38495(),BioCyc
BSU00760-MONOMER,4-amino-4-deoxychorismate pyruvate-lyase,BSU00760(),BioCyc
BSU36160-MONOMER,putative transcriptional regulator (LysR family),BSU36160(),BioCyc
BSU01000-MONOMER,preprotein translocase subunit,BSU01000(),BioCyc
BSU13320-MONOMER,conserved protein involved in sporulation,BSU13320(),BioCyc
BSU10550-MONOMER,"biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha, beta-trehalose);3-oxo-glucose-6-phosphate:glutamate aminotransferase; kanosamine aminotransferase (recent HGT island)",BSU10550(),BioCyc
BSU39790-MONOMER,conserved protein of unknown function,BSU39790(),BioCyc
BSU36390-MONOMER,flagellar hook-basal body accessory protein,BSU36390(),BioCyc
BSU23328-MONOMER,conserved hypothetical protein,BSU23328(),BioCyc
BSU11540-MONOMER,oligoendopeptidase F,BSU11540(),BioCyc
BSU21420-MONOMER,holin-like protein; bacteriophage SPbeta,BSU21420(),BioCyc
BSU18150-MONOMER,secreted endo-xylanase,BSU18150(),BioCyc
BSU26990-MONOMER,putative spore coat protein,BSU26990(),BioCyc
BSU15010-MONOMER,16S rRNA m2G966 methyltransferase,BSU15010(),BioCyc
BSU25090-MONOMER,putative nucleotidase,BSU25090(),BioCyc
BSU10790-MONOMER,asparagine synthetase (sporulation related),BSU10790(),BioCyc
BSU04970-MONOMER,ICEBs1 mobile element: two-domain autolysin with N-acetylmuramidase and DL-endopeptidase activity VirB1,BSU04970(),BioCyc
BSU28730-MONOMER,arabinose/arabinan permease,BSU28730(),BioCyc
BSU32380-MONOMER,putative transporter,BSU32380(),BioCyc
BSU40022-MONOMER,putative murein hydrolase export regulator,BSU40022(),BioCyc
BSU16940-MONOMER,multifunctional SOS repair factor,BSU16940(),BioCyc
BSU06670-MONOMER,glutamyl-tRNA(Gln) amidotransferase (subunit C),BSU06670(),BioCyc
BSU00600-MONOMER,spore protein involved in the shaping of the spore coat,BSU00600(),BioCyc
BSU11770-MONOMER,spore coat protein (outemost layer),BSU11770(),BioCyc
BSU30660-MONOMER,putative lipoprotein,BSU30660(),BioCyc
BSU36000-MONOMER,alpha-acetolactate decarboxylase,BSU36000(),BioCyc
BSU10390-MONOMER,putative oxidoreductase with Rieske [2Fe-2S] center,BSU10390(),BioCyc
BSU21660-MONOMER,serine-type phage integrase; phage SPbeta,BSU21660(),BioCyc
BSU34220-MONOMER,pyruvyl transferase for matrix biofilm formation,BSU34220(),BioCyc
BSU39630-MONOMER,ABC transporter membrane subunit YxdM,BSU39630(),BioCyc
BSU38520-MONOMER,D-alanyl carrier protein,BSU38520(),BioCyc
BSU11370-MONOMER,oligopeptide ABC transporter ATP-binding protein AppF,BSU11370(),BioCyc
BSU25290-MONOMER,maturation of 16S RNA and assembly of 30S ribosomal subunit GTPase,BSU25290(),BioCyc
BSU08620-MONOMER,putative membrane hydrolase,BSU08620(),BioCyc
BSU21270-MONOMER,conserved phage protein of unknown function; phage SPbeta,BSU21270(),BioCyc
BSU14850-MONOMER,essential cell-division protein FtsW,BSU14850(),BioCyc
BSU15240-MONOMER,cell-division initiation protein,BSU15240(),BioCyc
BSU02520-MONOMER,putative phosphotransferase,BSU02520(),BioCyc
BSU24930-MONOMER,co-factor of the FtsEX-CwlO cell wall hydrolase complex,BSU24930(),BioCyc
BSU28570-MONOMER,putative integral inner membrane protein,BSU28570(),BioCyc
BSU28980-MONOMER,helicase loader,BSU28980(),BioCyc
BSU37900-MONOMER,putative dTDP glycosyl/glycerophosphate transferase or transport,BSU37900(),BioCyc
BSU06520-MONOMER,fused phosphoribosylaminoimidazole carboxy formyl formyltransferase; inosine-monophosphate cyclohydrolase,BSU06520(),BioCyc
BSU00440-MONOMER,conserved hypothetical protein,BSU00440(),BioCyc
BSU32610-MONOMER,fructosevaline-6-phosphate deglycase,BSU32610(),BioCyc
BSU19579-MONOMER,putative exported protein,BSU19579(),BioCyc
BSU32250-MONOMER,threonine synthase,BSU32250(),BioCyc
BSU35840-MONOMER,teichoic acid-peptidoglycan tethering enzyme (LCP component) with transcription regulator domain of capsule synthesis,BSU35840(),BioCyc
BSU06890-MONOMER,component of the inner spore coat,BSU06890(),BioCyc
BSU_28475-MONOMER,aspartokinase II beta subunit (aa 246->408),BSU_28475(),BioCyc
BSU10230-MONOMER,conserved protein of unknown function,BSU10230(),BioCyc
BSU11210-MONOMER,N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase),BSU11210(),BioCyc
BSU00840-MONOMER,activator of protein kinase McsB,BSU00840(),BioCyc
BSU13169-MONOMER,hypothetical protein,BSU13169(),BioCyc
BSU21120-MONOMER,conserved protein of unknown function; phage SPbeta,BSU21120(),BioCyc
BSU14690-MONOMER,putative AdoMet-dependent methyltransferase,BSU14690(),BioCyc
BSU36240-MONOMER,protein tyrosine-phosphatase,BSU36240(),BioCyc
BSU23160-MONOMER,23S rRNA pseudouridine 2633 (=2605 standard) pseudouridine synthase,BSU23160(),BioCyc
BSU24770-MONOMER,transcriptional regulator of stress,BSU24770(),BioCyc
BSU28400-MONOMER,putative transcriptional regulator (mother cell's gene expression during sporulation),BSU28400(),BioCyc
BSU10630-MONOMER,ATP-dependent deoxyribonuclease (subunit A),BSU10630(),BioCyc
BSU26830-MONOMER,lipoprotein buffering protein for Zn2+ transport,BSU26830(),BioCyc
BSU06360-MONOMER,GMP synthetase,BSU06360(),BioCyc
BSU00280-MONOMER,thymidylate kinase,BSU00280(),BioCyc
BSU39870-MONOMER,putative N-acetyltransferase,BSU39870(),BioCyc
BSU04820-MONOMER,ICEBs1 mobile element: transcriptional regulator (Xre family),BSU04820(),BioCyc
BSU32090-MONOMER,conserved protein of unknown function,BSU32090(),BioCyc
BSU35680-MONOMER,poly(glucosyl N-acetylgalactosamine 1-phosphate) glucosyltransferase,BSU35680(),BioCyc
BSU11610-MONOMER,inorganic polyphosphate/ATP-NAD kinase (quinolate activated),BSU11610(),BioCyc
BSU16750-MONOMER,aspartate-semialdehyde dehydrogenase,BSU16750(),BioCyc
BSU10060-MONOMER,putative hydrolase,BSU10060(),BioCyc
BSU39340-MONOMER,transcriptional antiterminator,BSU39340(),BioCyc
BSU21500-MONOMER,lesion bypass phage DNA polymerase; phage SPbeta,BSU21500(),BioCyc
BSU30500-MONOMER,tetraprenyl-&beta;-curcumene synthase,BSU30500(),BioCyc
BSU20970-MONOMER,conserved protein of unknown function; phage SPbeta,BSU20970(),BioCyc
BSU14550-MONOMER,putative hydrolase,BSU14550(),BioCyc
BSU25140-MONOMER,ATP-dependent RNA helicase; cold shock,BSU25140(),BioCyc
BSU34060-MONOMER,two-component response regulator [YvfT],BSU34060(),BioCyc
BSU24610-MONOMER,master regulator of biofilm formation,BSU24610(),BioCyc
BSU28240-MONOMER,DNA damage checkpoint antagonist,BSU28240(),BioCyc
BSU15080-MONOMER,ribosomal protein L32,BSU15080(),BioCyc
BSU08460-MONOMER,xenosiderophore schizokinen (dihydroxamate) transporter (permease),BSU08460(),BioCyc
BSU06220-MONOMER,putative membrane associated potassium channel; prophage region 3,BSU06220(),BioCyc
BSU00120-MONOMER,"glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, glutamine amidotransferase subunit PdxT",BSU00120(),BioCyc
BSU28810-MONOMER,"arabinan-endo-1,5-alpha-L-arabinase",BSU28810(),BioCyc
BSU02360-MONOMER,glucosamine-6-phosphate deaminase,BSU02360(),BioCyc
BSU31930-MONOMER,L-alanine dehydrogenase (NAD-dependent),BSU31930(),BioCyc
BSU35510-MONOMER,putative translation regulator,BSU35510(),BioCyc
BSU32460-MONOMER,5-hydroxyisourate hydrolase; also uricase subunit,BSU32460(),BioCyc
BSU37740-MONOMER,prephenate decarboxylase,BSU37740(),BioCyc
BSU09910-MONOMER,putative DNA repair exonuclease,BSU09910(),BioCyc
BSU03788-MONOMER,putative type I toxin,BSU03788(),BioCyc
BSU06750-MONOMER,putative resolvase; HGT island,BSU06750(),BioCyc
BSU19420-MONOMER,putative YDP-glycosyltransferase,BSU19420(),BioCyc
BSU39190-MONOMER,conserved hypothetical protein,BSU39190(),BioCyc
BSU20830-MONOMER,hypothetical protein; phage SPbeta,BSU20830(),BioCyc
BSU00680-MONOMER,hypoxanthine-guanine phosphoribosyltransferase,BSU00680(),BioCyc
BSU_21925-MONOMER,hypothetical protein,BSU_21925(),BioCyc
BSU14390-MONOMER,fructose-1-phosphate kinase,BSU14390(),BioCyc
BSU24450-MONOMER,elongation factor P,BSU24450(),BioCyc
BSU36080-MONOMER,putative flavin-binding monooxygenase,BSU36080(),BioCyc
BSU13010-MONOMER,6-phosphogluconolactonase,BSU13010(),BioCyc
BSU28090-MONOMER,valyl-tRNA synthetase,BSU28090(),BioCyc
BSU06048-MONOMER,hypothetical protein; prophage 3 region,BSU06048(),BioCyc
BSU10470-MONOMER,conserved hypothetical protein,BSU10470(),BioCyc
BSU22980-MONOMER,putative phosphoesterase,BSU22980(),BioCyc
BSU18050-MONOMER,conserved hypothetical protein,BSU18050(),BioCyc
BSU31760-MONOMER,nicotinamidase; NAD salvage pathway,BSU31760(),BioCyc
BSU39710-MONOMER,inositol transport protein,BSU39710(),BioCyc
BSU26660-MONOMER,putative tautomerase,BSU26660(),BioCyc
BSU35350-MONOMER,putative flagellar protein of unknown function,BSU35350(),BioCyc
BSU09750-MONOMER,small acid-soluble spore protein (beta-type SASP),BSU09750(),BioCyc
BSU11460-MONOMER,oligopeptide ABC transporter ATP-binding protein OppD,BSU11460(),BioCyc
BSU04660-MONOMER,endoribonuclease toxin,BSU04660(),BioCyc
BSU03640-MONOMER,"promiscuous phenolic acid decarboxylase subunit; 1,4-dihydroxy-2-naphtoate-heptaprenyl diphosphate decarboxylase",BSU03640(),BioCyc
BSU39020-MONOMER,purine nucleoside transporter,BSU39020(),BioCyc
BSU21340-MONOMER,protein conferring self-immunity to the host; phage SPbeta,BSU21340(),BioCyc
BSU16590-MONOMER,ribosome maturation factor,BSU16590(),BioCyc
BSU20670-MONOMER,putative DNA-binding protein anti-repressor; phage SPbeta,BSU20670(),BioCyc
BSU14230-MONOMER,thiol-disulfide oxidoreductase,BSU14230(),BioCyc
BSU14930-MONOMER,cytochrome aa(3) assembly factor,BSU14930(),BioCyc
BSU30340-MONOMER,blue light GTP-binding receptor,BSU30340(),BioCyc
BSU24290-MONOMER,exodeoxyribonuclease VII (small subunit),BSU24290(),BioCyc
BSU27930-MONOMER,sporulation initiation phosphotransferase,BSU27930(),BioCyc
BSU25010-MONOMER,putative efflux transporter,BSU25010(),BioCyc
BSU33900-MONOMER,enolase,BSU33900(),BioCyc
BSU05880-MONOMER,"exported mannan endo-1,4-beta-mannosidase",BSU05880(),BioCyc
BSU17900-MONOMER,factor controlling DNA replication,BSU17900(),BioCyc
BSU28650-MONOMER,ribosomal RNA methylase,BSU28650(),BioCyc
BSU08290-MONOMER,two-component sensor histidine kinase [YfiK],BSU08290(),BioCyc
BSU31600-MONOMER,Na<sup>+</sup>:H<sup>+</sup> antiporter subunit A,BSU31600(),BioCyc
BSU35190-MONOMER,putative phosphotransferase,BSU35190(),BioCyc
BSU06590-MONOMER,"putative osmotic shock glutamate synthase subunit (flavoprotein subunit, ferredoxin-dependent)",BSU06590(),BioCyc
BSU02200-MONOMER,putative pepdidoglycan binding protein,BSU02200(),BioCyc
BSU09590-MONOMER,putative membrane protein,BSU09590(),BioCyc
BSU03470-MONOMER,positive regulator of hxlAB expression (formaldehyde sensing),BSU03470(),BioCyc
BSU00520-MONOMER,"ribosomal protein BL25 (Ctc), binding 5S RNA",BSU00520(),BioCyc
BSU37580-MONOMER,putative transcriptional regulator,BSU37580(),BioCyc
BSU38860-MONOMER,UDP-glucose 4-epimerase,BSU38860(),BioCyc
BSU20510-MONOMER,conserved hypothetical protein; phage SPbeta,BSU20510(),BioCyc
BSU32330-MONOMER,lipoyl synthase (lipoic acid synthetase),BSU32330(),BioCyc
BSU19260-MONOMER,putative chaperone,BSU19260(),BioCyc
BSU14072-MONOMER,conserved hypothetical protein,BSU14072(),BioCyc
BSU24120-MONOMER,2-methylisocitrate lyase,BSU24120(),BioCyc
BSU35920-MONOMER,ribokinase,BSU35920(),BioCyc
BSU_12875-MONOMER,hypothetical protein,BSU_12875(),BioCyc
BSU27770-MONOMER,putative inositol-related oxidoreductase,BSU27770(),BioCyc
BSU05720-MONOMER,putative glycosyltransferase,BSU05720(),BioCyc
BSU10310-MONOMER,putative N-acetyltransferase,BSU10310(),BioCyc
BSU12850-MONOMER,putative PitB transporter accessory protein,BSU12850(),BioCyc
BSU17740-MONOMER,conserved protein involved in spore germination,BSU17740(),BioCyc
BSU31440-MONOMER,promiscuous cystathionine / cystine beta-lyase / cysteine desulfhydrase,BSU31440(),BioCyc
BSU39550-MONOMER,sugar-phosphate hydrolase (promiscuous),BSU39550(),BioCyc
BSU22840-MONOMER,GTPase essential for ribosome 50S subunit assembly (maturation of the 50S subunit central protoberance),BSU22840(),BioCyc
BSU35030-MONOMER,transcriptional regulator (GntR family),BSU35030(),BioCyc
BSU09420-MONOMER,cell wall dl-endopeptidase; phosphatase-associated protein (major autolysin),BSU09420(),BioCyc
BSU11290-MONOMER,putative NAD(P) binding enzyme,BSU11290(),BioCyc
BSU26500-MONOMER,putative sulfur-carrier protein,BSU26500(),BioCyc
BSU03320-MONOMER,assimilatory nitrate reductase (electron transfer subunit NasB),BSU03320(),BioCyc
BSU21200-MONOMER,conserved protein of unknown function; phage SPbeta,BSU21200(),BioCyc
BSU38700-MONOMER,RNA polymerase ECF (extracytoplasmic function)-type sigma factor (sigma-Y),BSU38700(),BioCyc
BSU04500-MONOMER,putative ABC efflux transporter membrane protein YdbK,BSU04500(),BioCyc
BSU20350-MONOMER,putative single-strand DNA-specific exonuclease; phage SPbeta,BSU20350(),BioCyc
BSU13930-MONOMER,spore photoproduct (thymine dimer) lyase,BSU13930(2),BioCyc
BSU14770-MONOMER,ribosome-associated GTPase,BSU14770(),BioCyc
BSU16430-MONOMER,chemotactic two-component sensor histidine kinase,BSU16430(),BioCyc
BSU23960-MONOMER,arginine ABC transporter ATP-binding protein,BSU23960(),BioCyc
BSU27620-MONOMER,single-strand DNA-specific exonuclease,BSU27620(),BioCyc
BSU24850-MONOMER,glucose kinase,BSU24850(),BioCyc
BSU30180-MONOMER,putative NAD-dependent nucleoside-diphosphate-sugar epimerase,BSU30180(),BioCyc
BSU05560-MONOMER,conserved hypothetical protein; putative germination protein,BSU05560(),BioCyc
BSU17590-MONOMER,transcriptional regulator,BSU17590(),BioCyc
BSU28490-MONOMER,excinuclease ABC (subunit C),BSU28490(),BioCyc
BSU33740-MONOMER,putative transcriptional regulator (controlling choline uptake),BSU33740(),BioCyc
BSU31300-MONOMER,putative membrane protein,BSU31300(),BioCyc
BSU34870-MONOMER,imidazole glycerol phosphate synthase subunit,BSU34870(),BioCyc
BSU06440-MONOMER,adenylosuccinate lyase,BSU06440(),BioCyc
BSU08130-MONOMER,putative integral inner membrane protein,BSU08130(),BioCyc
BSU09260-MONOMER,putative aminotransferase,BSU09260(),BioCyc
BSU03160-MONOMER,xenotiotic metabolite methyltransferase,BSU03160(),BioCyc
BSU00360-MONOMER,16S rRNA 2'-O-ribose C1402 methyltransferase,BSU00360(),BioCyc
BSU02040-MONOMER,putative phage protein; prophage region 1,BSU02040(),BioCyc
BSU38540-MONOMER,putative oxidoreductase,BSU38540(),BioCyc
BSU20190-MONOMER,putative type I toxin; phage SPbeta,BSU20190(),BioCyc
BSU32170-MONOMER,diaminopimelate epimerase,BSU32170(),BioCyc
BSU37420-MONOMER,putative peptidase involved in subtilosin production,BSU37420(),BioCyc
MONOMER8J2-54,RNA polymerase sporulation-specific sigma-K factor precursor (Sigma-27) (N-terminal half),BSU25760(),BioCyc
BSU13790-MONOMER,putative sporulation-specific glycosylase (HGT island),BSU13790(),BioCyc
BSU35760-MONOMER,"teichoic acid primase, CDP-glycerol:N-acetyl-beta-d-mannosaminyl-1, 4-N-acetyl-d-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase",BSU35760(),BioCyc
BSU19110-MONOMER,mother cell-specific membrane sporulation protein,BSU19110(),BioCyc
BSU23800-MONOMER,"pyrroline-5-carboxylate reductase (NADP-dependent, weak activity)",BSU23800(),BioCyc
BSU27469-MONOMER,conserved protein of unknown function,BSU27469(),BioCyc
BSU10140-MONOMER,promiscuous protoporphyrinogen IX and coproporphyrinogen III oxidase,BSU10140(),BioCyc
BSU41000-MONOMER,"7-methylguanosine methyltransferase (16S rRNA, nucleotide G527)",BSU41000(),BioCyc
BSU05410-MONOMER,YdfH two-component sensory histidine kinase,BSU05410(),BioCyc
BSU17440-MONOMER,putative C-S lyase,BSU17440(),BioCyc
BSU11139-MONOMER,conserved hypothetical protein; genus orphan,BSU11139(),BioCyc
BSU12700-MONOMER,phage PBSX; conserved hypothetical protein,BSU12700(),BioCyc
BSU31150-MONOMER,undecaprenyl-pyrophosphate phosphatase,BSU31150(),BioCyc
BSU34720-MONOMER,response regulator PsdR,BSU34720(),BioCyc
BSU39420-MONOMER,deoxyribose-phosphate aldolase,BSU39420(),BioCyc
BSU22680-MONOMER,anthranilate synthase,BSU22680(),BioCyc
BSU09090-MONOMER,putative ABC efflux transporter membrane protein YhcI,BSU09090(),BioCyc
BSU03000-MONOMER,glycine betaine ABC transporter substrate-binding lipoprotein,BSU03000(),BioCyc
BSU21040-MONOMER,DNA-dependent RNA polymerase; phage SPbeta,BSU21040(),BioCyc
BSU26320-MONOMER,putative transcriptional regulator; skin element,BSU26320(),BioCyc
BSU38380-MONOMER,conserved protein of unknown function,BSU38380(),BioCyc
BSU20030-MONOMER,SPbeta phage putative thiol disulfide oxidoreductase fragment,BSU20030(),BioCyc
BSU14620-MONOMER,small peptidoglycan-associated lipoprotein,BSU14620(),BioCyc
BSU04340-MONOMER,acetyl-phosphate generating pyruvate oxidase,BSU04340(),BioCyc
BSU13640-MONOMER,negative regulatory phosphatase acting on Spo0A-P (sporulation),BSU13640(),BioCyc
BSU23640-MONOMER,putative hydrolase,BSU23640(),BioCyc
BSU24690-MONOMER,component of the DNA transport pilin platform,BSU24690(),BioCyc
BSU16280-MONOMER,flagellar hook capping protein,BSU16280(),BioCyc
BSU27320-MONOMER,transcription elongation factor resolving backtracking / stalling,BSU27320(),BioCyc
BSU05280-MONOMER,putative integral inner membrane protein,BSU05280(),BioCyc
BSU28320-MONOMER,inner spore coat protein,BSU28320(),BioCyc
BSU30000-MONOMER,putative ABC efflux transporter membrane protein YthQ,BSU30000(),BioCyc
BSU17280-MONOMER,putative peroxiredoxin-related protein,BSU17280(),BioCyc
BSU30990-MONOMER,"putative thiamin ECF transporter, S-component ThiT",BSU30990(),BioCyc
BSU06290-MONOMER,conserved hypothetical protein,BSU06290(),BioCyc
BSU33580-MONOMER,putative transcriptional regulator,BSU33580(),BioCyc
BSU34560-MONOMER,"oligo-1,4-1,6-alpha-glucosidase (sucrase-maltase-isomaltase)",BSU34560(),BioCyc
BSU08930-MONOMER,tRNA (cytidine(34)-2'-O)-methyltransferase,BSU08930(),BioCyc
BSU00200-MONOMER,nucleoid associated protein,BSU00200(),BioCyc
BSU07980-MONOMER,exported peptidoglycan N-acetylmuramic acid deacetylase,BSU07980(),BioCyc
BSU02840-MONOMER,putative oligo-carbohydrate hydrolase,BSU02840(),BioCyc
BSU38229-MONOMER,anti-repressor of SlrR,BSU38229(),BioCyc
BSU32010-MONOMER,bacillibactin trilactone hydrolase,BSU32010(),BioCyc
BSU01880-MONOMER,conserved hypothetical protein; prophage 1 region,BSU01880(),BioCyc
BSU19870-MONOMER,conserved hypothetical protein; phage SPbeta,BSU19870(),BioCyc
BSU13490-MONOMER,membrane protease,BSU13490(),BioCyc
BSU35590-MONOMER,putative glycosyltransferase (teichuronic acid),BSU35590(),BioCyc
BSU37260-MONOMER,nitrate reductase molybdenum cofactor assembly chaperone NarJ,BSU37260(),BioCyc
BSU23490-MONOMER,purine nucleoside phosphorylase,BSU23490(),BioCyc
BSU27160-MONOMER,cytochrome P450 CYP102A3,BSU27160(),BioCyc
BSU09990-MONOMER,"transcriptional regulator of extracellular protease production, sporulation and bacilysin production (MarR family)",BSU09990(),BioCyc
BSU18950-MONOMER,conserved hypothetical protein of phage origin; putative defective prophage 6,BSU18950(),BioCyc
BSU05120-MONOMER,cold-shock protein,BSU05120(),BioCyc
BSU17110-MONOMER,enzyme involved in bacillaene synthesis,BSU17110(),BioCyc
BSU03850-MONOMER,putative transcriptional regulator (TetR/AcrR family),BSU03850(),BioCyc
BSU40850-MONOMER,maltose O-acetyltransferase,BSU40850(),BioCyc
BSU30830-MONOMER,menaquinone-specific isochorismate synthase,BSU30830(),BioCyc
BSU34400-MONOMER,phenolic acid decarboxylase,BSU34400(),BioCyc
BSU39270-MONOMER,phosphotransferase system (PTS) beta-glucoside-specific enzyme IIBCA component,BSU39270(),BioCyc
BSU12570-MONOMER,phage PBSX; prophage terminase (small subunit),BSU12570(),BioCyc
BSU08780-MONOMER,putative peptidase,BSU08780(),BioCyc
BSU02680-MONOMER,transcriptional repressor of lmrAB and yxaGH operons (flavonoid and antibiotic resistance),BSU02680(),BioCyc
BSU20910-MONOMER,conserved protein of unknown function; phage SPbeta,BSU20910(),BioCyc
