,annotation,model_annotation
BSU11250,ornithine carbamoyltransferase,S_Amino_acids_and_related_molecules
BSU11190,N-acetylglutamate gamma-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU11200,ornithine acetyltransferase; amino-acid acetyltransferase,"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU11220,N-acetylornithine aminotransferase,S_Amino_acids_and_related_molecules
BSU11210,N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase),S_Amino_acids_and_related_molecules
BSU11870,cystathionine gamma-synthase and O-acetylhomoserine thiolyase,"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU32260,homoserine dehydrogenase,S_Amino_acids_and_related_molecules
BSU32240,homoserine kinase,S_Amino_acids_and_related_molecules
BSU32250,threonine synthase,S_Amino_acids_and_related_molecules
BSU21870,dihydroxy-acid dehydratase,"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU06520,fused phosphoribosylaminoimidazole carboxy formyl formyltransferase; inosine-monophosphate cyclohydrolase,"S_Nucleotides_and_nucleic_acids,S_Nucleotides_and_nucleic_acids"
BSU22650,phosphoribosylanthranilate isomerase,S_Amino_acids_and_related_molecules
BSU22640,tryptophan synthase (beta subunit),S_Amino_acids_and_related_molecules
BSU22660,indole-3-glycerol phosphate synthase,S_Amino_acids_and_related_molecules
BSU22630,tryptophan synthase (alpha subunit),S_Amino_acids_and_related_molecules
BSU22670,anthranilate phosphoribosyltransferase,S_Amino_acids_and_related_molecules
BSU28290,acetohydroxy-acid isomeroreductase (NADP-dependent),"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU25760,,
BSU26390,,
BSU01770,phosphoglucosamine mutase,"S_Carbohydrates_and_related_molecules,S_Carbohydrates_and_related_molecules"
BSU15190,phospho-N-acetylmuramoyl-pentapeptide undecaprenyl phosphate (C55P) transferase,S_Cell_wall
BSU15220,UDP-N-acetylglucosamine-N-acetylmuramyl- (pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,S_Cell_wall
BSU15230,UDP-N-acetylenolpyruvoylglucosamine reductase,S_Cell_wall
BSU15200,UDP-N-acetylmuramoylalanyl-D-glutamate ligase,S_Cell_wall
BSU15180,"UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase",S_Cell_wall
BSU22490,"(4S)-4-hydroxy-2,3,4, 5-tetrahydro-(2S)-dipicolinic acid (HTPA) dehydratase reductase",S_Amino_acids_and_related_molecules
BSU21910,homoserine O-acetyltransferase,S_Amino_acids_and_related_molecules
BSU28500,thioredoxin,"S_Phosphate_and_sulfur,S_Phosphate_and_sulfur"
BSU15590,sulfate adenylyltransferase,S_Phosphate_and_sulfur
BSU15570,(phospho)adenosine phosphosulfate reductase,"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU16770,4-hydroxy-tetrahydrodipicolinate synthase,S_Amino_acids_and_related_molecules
BSU16750,aspartate-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU04740,serine phosphatase,"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU29790,UDP-N-acetyl muramate-alanine ligase,S_Cell_wall
BSU04570,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanine ligase",S_Cell_wall
BSU04560,D-alanyl-D-alanine ligase A,S_Cell_wall
BSU04640,D-alanine racemase,S_Amino_acids_and_related_molecules
BSU29440,argininosuccinate lyase,S_Amino_acids_and_related_molecules
BSU29450,argininosuccinate synthase,S_Amino_acids_and_related_molecules
BSU31400,putative aspartate aminotransferase,S_Amino_acids_and_related_molecules
BSU32170,diaminopimelate epimerase,S_Amino_acids_and_related_molecules
BSU31150,undecaprenyl-pyrophosphate phosphatase,S_Cell_wall
BSU33170,putative vitamin B12 permease,S_Transport
BSU32680,iron-sulfur cluster assembly sulfur-transfer protein (Zn(2+)-dependent),"S_Carbohydrates_and_related_molecules,S_Carbohydrates_and_related_molecules"
BSU34860,bifunctional phosphoribosyl-AMP cyclohydrolase; phosphoribosyl-ATP pyrophosphohydrolase,"S_Amino_acids_and_related_molecules,S_Amino_acids_and_related_molecules"
BSU34870,imidazole glycerol phosphate synthase subunit,S_Amino_acids_and_related_molecules
BSU34880,phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,S_Amino_acids_and_related_molecules
BSU34900,imidazoleglycerol-phosphate dehydratase [Mn(II)-dependent],S_Amino_acids_and_related_molecules
BSU34910,histidinol dehydrogenase,S_Amino_acids_and_related_molecules
BSU34920,ATP phosphoribosyltransferase,S_Amino_acids_and_related_molecules
BSU17460,glutamine synthetase,S_Amino_acids_and_related_molecules
BSU15320,RNA polymerase sporulation-specific sigma-29 factor (sigma-E),S_Nucleotides_and_nucleic_acids
BSU29620,histidinol phosphate phosphatase,S_Amino_acids_and_related_molecules
BSU00500,bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase,"S_Cell_wall,S_Cell_wall"
BSU14000,"N-acetyl-L,L-diaminopimelate aminotransferase",S_Amino_acids_and_related_molecules
BSU14190,<i>N</i>-acetyl-diaminopimelate deacetylase,S_Amino_acids_and_related_molecules
BSU14180,tetrahydrodipicolinate N-acetyltransferase,S_Amino_acids_and_related_molecules
BSU15680,guanylate kinase,"S_Nucleotides_and_nucleic_acids,S_Nucleotides_and_nucleic_acids,S_Nucleotides_and_nucleic_acids"
BSU16670,riboflavin biosynthesis protein RibC,"S_Coenzymes_and_prosthetic_groups,S_Coenzymes_and_prosthetic_groups"
BSU22370,anabolic oxaloacetate / glutamate aminotransferase,S_Amino_acids_and_related_molecules
BSU23380,"meso-2,6-diaminopimelate decarboxylase",S_Amino_acids_and_related_molecules
